disease	name	symptoms	symptomNames
COSMETIC_DISORDER	cosmetic disorder	(PSYCHOSOCIAL_STRESS)	(psychosocial stress)
TOXICITY	toxicity; poisoning; overdose	(CARDIAC_ARRHYTHMIA)	(cardiac arrhythmia)
IODINE_TOXICITY	iodine toxicity	(GOITER HYPOTHYROIDISM)	(goiter hypothyroidism)
ZINC_TOXICITY	zinc toxicity	(ATAXIA HEADACHE DIARRHEA EPIGASTRIC_PAIN NAUSEA VOMITING)	(ataxia headache diarrhea epigastric pain nausea vomiting)
THALLIUM_POISONING	thallium poisoning	(ALOPECIA PAIN SEIZURE REFLEX NUMBNESS HEADACHE MUSCULAR_ATROPHY MEMORY_IMPAIRMENT NAUSEA DIARRHEA VOMITING)	(alopecia (hair loss, balding) pain [odyn-] seizure; epileptic seizure reflex numbness headache muscle atrophy (amyotrophy) memory impairment nausea diarrhea vomiting)
SALICYLATE_TOXICITY	salicylate toxicity	(METABOLIC_ACIDOSIS NAUSEA VOMITING FEVER TACHYPNEA CONFUSION TINNITUS RESPIRATORY_ALKALOSIS)	(metabolic acidosis nausea vomiting fever tachypnea confusion tinnitus respiratory alkalosis)
MERCURY_TOXICITY	mercury toxicity (hydrargyria, mercurialism)	(ATAXIA INSOMNIA VISUAL_IMPAIRMENT HEADACHE ERETHISM GINGIVITIS TREMOR VOMITING CONFUSION STOMATITIS DYSPNEA PLEURITIS FEVER CHILLS)	(ataxia insomnia visual impairment headache erethism gingivitis tremor vomiting confusion stomatitis dyspnea (shortness of breath {SOB}) pleuritis (pleurisy) fever chills/rigors)
MUSCARINE_TOXICITY	muscarine toxicity (muscarine poisoning)	(DIARRHEA CRAMP DIAPHORESIS)	(diarrhea cramp diaphoresis)
ALUMINUM_TOXICITY	aluminum toxicity	(BONE_PAIN DEMENTIA)	(bone pain dementia)
RETINOID_TOXICITY	retinoid toxicity	(ALOPECIA EXFOLIATION XEROSIS CHEILITIS)	(alopecia (hair loss, balding) exfoliation (desquamation) xerosis (dry skin) cheilitis)
VEISALGIA	veisalgia	(FATIGUE MALAISE DIZZINESS NAUSEA HEADACHE)	(fatigue; lassitude; tiredness malaise dizziness nausea headache)
NEUROTOXICITY	neurotoxicity	(HEADACHE COGNITIVE_IMPAIRMENT VISUAL_IMPAIRMENT MEMORY_IMPAIRMENT NUMBNESS WEAKNESS)	(headache cognitive impairment visual impairment memory impairment numbness weakness)
ARSENIC_POISONING	arsenic poisoning	(DEEP_TENDON_REFLEX RHINITIS LEUKONYCHIA EDEMA HYPERKERATOSIS COGNITIVE_IMPAIRMENT PARALYSIS VERTIGO HEADACHE PULMONARY_EDEMA OLIGURIA VENTRICULAR_ARRHYTHMIA TACHYARRHYTHMIA HYPOTENSION DIARRHEA ABDOMINAL_PAIN NAUSEA VOMITING DYSPHAGIA GASTROINTESTINAL_SYMPTOM)	(deep tendon reflex (DTR) rhinitis leukonychia; achromia unguium; canities unguium; leukopathia unguis edema (swelling) hyperkeratosis cognitive impairment paralysis vertigo headache pulmonary edema (pulmonary congestion, PE) oliguria ventricular arrhythmia tachyarrhythmia (tachycardia) hypotension diarrhea abdominal pain nausea vomiting dysphagia (swallowing disorder) gastrointestinal symptom)
LEAD_POISONING	lead poisoning (plumbism)	(HYPERTENSION SEIZURE IRRITABILITY MYALGIA CONSTIPATION NAUSEA VOMITING ABDOMINAL_PAIN)	(hypertension (HTN, high blood pressure, HBP) seizure; epileptic seizure irritability (impatience, hyperexcitability) myalgia (muscle pain) constipation nausea vomiting abdominal pain)
WATER_INTOXICATION	water intoxication	(SEIZURE CONFUSION HALLUCINATION DELUSION)	(seizure; epileptic seizure confusion hallucination delusion)
LUMBAR_ADHESIVE_ARACHNOIDITIS	lumbar adhesive arachnoiditis	(REFLEX LEG_PAIN BACK_PAIN)	(reflex leg pain back pain)
