eref	gender	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10	d11	allages
ABDOMINAL_AORTA	M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0E-7	0.0	0.0	0.0	7.0E-7
ABDOMINAL_PAIN	M	1.147E-4	1.471E-4	1.201E-4	1.76E-4	2.476E-4	3.171E-4	3.983E-4	3.883E-4	2.095E-4	3.81E-5	7.0E-7	0.0	0.0021574
ABDOMINAL_PAIN	F	1.197E-4	2.173E-4	3.167E-4	4.111E-4	4.774E-4	5.105E-4	6.174E-4	5.928E-4	3.267E-4	8.05E-5	1.4E-6	0.0	0.0036715
ABDOMINAL_TRAUMA	M	0.0	1.1E-6	4.0E-7	7.0E-7	7.0E-7	1.4E-6	7.0E-7	1.1E-6	7.0E-7	4.0E-7	0.0	0.0	5.0E-6
ABDOMINAL_TRAUMA	F	0.0	7.0E-7	4.0E-7	4.0E-7	4.0E-7	4.0E-7	2.1E-6	1.1E-6	1.1E-6	0.0	0.0	0.0	4.3E-6
ABDOMINAL_WALL_HERNIA	M	1.28E-5	1.8E-6	2.8E-6	1.1E-5	2.49E-5	2.46E-5	3.46E-5	2.78E-5	5.3E-6	1.1E-6	0.0	0.0	1.461E-4
ABDOMINAL_WALL_HERNIA	F	7.5E-6	1.8E-6	2.8E-6	1.25E-5	1.28E-5	2.28E-5	1.92E-5	2.21E-5	1.07E-5	2.5E-6	0.0	0.0	1.147E-4
ABNORMAL_ELECTROCARDIOGRAM	M	2.8E-6	1.6E-5	1.71E-5	3.95E-5	9.3E-5	1.817E-4	2.886E-4	3.131E-4	1.507E-4	2.6E-5	0.0	0.0	0.0011286
ABNORMAL_ELECTROCARDIOGRAM	F	3.2E-6	7.5E-6	2.35E-5	4.06E-5	1.026E-4	2.084E-4	3.217E-4	3.488E-4	2.152E-4	4.03E-5	1.4E-6	0.0	0.0013131
ABORTION	F	0.0	1.8E-6	3.1E-5	5.91E-5	1.85E-5	7.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	1.111E-4
ABRASION	M	1.78E-5	1.28E-5	6.4E-6	7.1E-6	7.1E-6	7.8E-6	1.18E-5	1.5E-5	1.5E-5	4.6E-6	4.0E-7	0.0	1.022E-4
ABRASION	F	1.39E-5	7.1E-6	5.0E-6	4.6E-6	7.1E-6	8.9E-6	1.18E-5	1.67E-5	1.28E-5	5.7E-6	7.0E-7	0.0	8.02E-5
ABRUPTIO_PLACENTAE	F	0.0	4.0E-7	2.8E-6	6.4E-6	4.0E-7	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	1.0E-5
ABSCESS	M	3.2E-6	2.5E-6	3.6E-6	5.7E-6	7.5E-6	9.6E-6	8.9E-6	5.3E-6	3.2E-6	4.0E-7	0.0	0.0	4.38E-5
ABSCESS	F	2.1E-6	4.3E-6	7.8E-6	1.03E-5	9.3E-6	1.07E-5	6.8E-6	8.2E-6	4.3E-6	2.1E-6	4.0E-7	0.0	4.92E-5
ABSENCE_SEIZURE	M	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	7.0E-7	0.0	0.0	0.0	0.0	1.1E-6
ABSENCE_SEIZURE	F	4.0E-7	7.0E-7	0.0	0.0	7.0E-7	1.1E-6	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	3.6E-6
ABUSE	M	4.0E-7	4.0E-7	4.0E-7	0.0	0.0	4.0E-7	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	0.0	1.1E-6
ACANTHOSIS_NIGRICANS	M	2.1E-6	6.8E-6	1.1E-6	1.4E-6	2.8E-6	2.5E-6	2.5E-6	1.1E-6	1.8E-6	4.0E-7	0.0	0.0	2.24E-5
ACANTHOSIS_NIGRICANS	F	2.5E-6	1.5E-5	5.7E-6	7.5E-6	5.3E-6	2.1E-6	2.5E-6	2.1E-6	4.0E-7	0.0	0.0	0.0	4.31E-5
ACCIDENT	M	3.95E-5	7.02E-5	2.85E-5	1.92E-5	2.67E-5	2.78E-5	2.53E-5	3.06E-5	1.82E-5	7.1E-6	4.0E-7	0.0	2.059E-4
ACCIDENT	F	2.92E-5	3.38E-5	1.6E-5	1.99E-5	3.13E-5	3.1E-5	4.35E-5	5.06E-5	4.13E-5	1.6E-5	7.0E-7	0.0	2.854E-4
ACCIDENTAL_FALL	M	2.96E-5	3.81E-5	1.35E-5	1.39E-5	2.14E-5	3.13E-5	3.81E-5	5.45E-5	4.74E-5	2.07E-5	1.1E-6	0.0	3.074E-4
ACCIDENTAL_FALL	F	2.39E-5	2.99E-5	2.17E-5	2.21E-5	3.53E-5	4.6E-5	8.73E-5	8.41E-5	1.054E-4	4.06E-5	3.2E-6	0.0	4.995E-4
ACHALASIA	M	0.0	0.0	0.0	0.0	7.0E-7	2.1E-6	7.0E-7	1.8E-6	2.8E-6	0.0	0.0	0.0	8.2E-6
ACHALASIA	F	0.0	0.0	1.1E-6	0.0	1.1E-6	2.1E-6	2.8E-6	5.3E-6	2.8E-6	1.4E-6	0.0	0.0	1.67E-5
ACHILLES_TENDON_RUPTURE	M	0.0	0.0	4.0E-7	2.1E-6	2.1E-6	2.5E-6	1.4E-6	1.1E-6	0.0	0.0	0.0	0.0	9.6E-6
ACHILLES_TENDON_RUPTURE	F	0.0	0.0	0.0	1.1E-6	1.8E-6	2.5E-6	2.8E-6	1.4E-6	4.0E-7	0.0	0.0	0.0	1.0E-5
ACHILLES_TENDONITIS	M	7.0E-7	9.3E-6	3.6E-6	1.0E-5	1.35E-5	1.89E-5	1.71E-5	1.14E-5	2.1E-6	4.0E-7	0.0	0.0	8.69E-5
ACHILLES_TENDONITIS	F	4.0E-7	8.2E-6	5.3E-6	1.07E-5	1.71E-5	2.67E-5	2.81E-5	2.17E-5	6.4E-6	7.0E-7	0.0	0.0	1.254E-4
ACHLORHYDRIA	M	0.0	0.0	0.0	4.0E-7	4.0E-7	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	1.1E-6
ACHLORHYDRIA	F	0.0	0.0	0.0	0.0	4.0E-7	0.0	7.0E-7	0.0	0.0	0.0	0.0	0.0	1.1E-6
ACHROMATOPSIA	F	0.0	0.0	0.0	0.0	0.0	4.0E-7	0.0	0.0	0.0	0.0	0.0	0.0	4.0E-7
ACIDOSIS	M	3.6E-6	2.1E-6	1.4E-6	2.1E-6	6.8E-6	1.5E-5	3.42E-5	5.02E-5	3.99E-5	7.5E-6	0.0	0.0	1.624E-4
ACIDOSIS	F	3.2E-6	2.1E-6	2.1E-6	2.8E-6	7.8E-6	1.92E-5	3.81E-5	4.52E-5	3.99E-5	8.5E-6	4.0E-7	0.0	1.685E-4
