term	name	URL
DISEASE	disease	http://www.anvita.info/wiki/Disease
COSMETIC_DISORDER	cosmetic disorder	http://www.anvita.info/wiki/Cosmetic_Disorder
PULMONARY_HEART_OR_VASCULAR_DISEASE	Pulmonary Heart or Vascular Disease	http://www.anvita.info/wiki/Pulmonary_Heart_Or_Vascular_Disease
CHILDHOOD_DISEASE	childhood disease	http://www.anvita.info/wiki/Childhood_Disease
RETROPERITONEAL_DISEASE	retroperitoneal disease	http://www.anvita.info/wiki/Retroperitoneal_Disease
RETROPERITONEAL_MASS_LESION	retroperitoneal mass lesion	http://www.anvita.info/wiki/Retroperitoneal_Mass_Lesion
EPITHELIAL_DISORDER	epithelial disorder	http://www.anvita.info/wiki/Epithelial_Disorder
LYMPHOID_TISSUE_DISEASE	lymphoid tissue disease	http://www.anvita.info/wiki/Lymphoid_Tissue_Disease
HEMATOLOGIC_DISEASE	hematologic disease (blood disorder, blood dyscrasia)	http://www.anvita.info/wiki/Hematologic_Disease
SICKLE_CELL_VASO_OCCLUSIVE_CRISIS	sickle cell vaso-occlusive crisis	http://www.anvita.info/wiki/Sickle_Cell_Vaso_Occlusive_Crisis
MITOCHONDRIAL_DISEASE	mitochondrial disease	http://www.anvita.info/wiki/Mitochondrial_Disease
PERINATAL_DISEASE	perinatal disease	http://www.anvita.info/wiki/Perinatal_Disease
STILLBIRTH	stillbirth	http://www.anvita.info/wiki/Stillbirth
BREAST_DISEASE	breast disease; mammary gland disease	http://www.anvita.info/wiki/Breast_Disease
BREAST_LUMP	breast lump/mass	http://www.anvita.info/wiki/Breast_Lump
ANIMAL_DISEASE	animal disease	http://www.anvita.info/wiki/Animal_Disease
TOXICITY	toxicity; poisoning; overdose	http://www.anvita.info/wiki/Toxicity
OPIOID_OVERDOSE	Opioid Overdose	http://www.anvita.info/wiki/Opioid_Overdose
ALCOHOL_TOXICITY	alcohol toxicity	http://www.anvita.info/wiki/Alcohol_Toxicity
IODINE_TOXICITY	iodine toxicity	http://www.anvita.info/wiki/Iodine_Toxicity
TACROLIMUS_TOXICITY	tacrolimus toxicity	http://www.anvita.info/wiki/Tacrolimus_Toxicity
ZINC_TOXICITY	zinc toxicity	http://www.anvita.info/wiki/Zinc_Toxicity
THALLIUM_POISONING	thallium poisoning	http://www.anvita.info/wiki/Thallium_Poisoning
CHROMIUM_TOXICITY	chromium toxicity	http://www.anvita.info/wiki/Chromium_Toxicity
LATE_EFFECTS_OF_INJURIES_POISONINGS_TOXIC_EFFECTS_AND_OTHER_EXTERNAL_CAUSES	Late Effects of Injuries, Poisonings, Toxic Effects, and other External Causes	http://www.anvita.info/wiki/Late_Effects_Of_Injuries_Poisonings_Toxic_Effects_And_Other_External_Causes
SALICYLATE_TOXICITY	salicylate toxicity	http://www.anvita.info/wiki/Salicylate_Toxicity
CALCIUM_CHANNEL_BLOCKER_TOXICITY	calcium channel blocker toxicity	http://www.anvita.info/wiki/Calcium_Channel_Blocker_Toxicity
CADMIUM_TOXICITY	cadmiun toxicity	http://www.anvita.info/wiki/Cadmium_Toxicity
BETA_BLOCKER_TOXICITY	beta-adrenergic receptor antagonist (beta blocker) overdose	http://www.anvita.info/wiki/Beta_Blocker_Toxicity
ANTICHOLINERGIC_TOXICITY	anticholinergic toxicity	http://www.anvita.info/wiki/Anticholinergic_Toxicity
MERCURY_TOXICITY	mercury toxicity (hydrargyria, mercurialism)	http://www.anvita.info/wiki/Mercury_Toxicity
HEAVY_METAL_TOXICITY	heavy metal toxicity	http://www.anvita.info/wiki/Heavy_Metal_Toxicity
FOLIC_ACID_ANTAGONIST_TOXICITY	folic acid antagonist toxicity	http://www.anvita.info/wiki/Folic_Acid_Antagonist_Toxicity
MUSCARINE_TOXICITY	muscarine toxicity (muscarine poisoning)	http://www.anvita.info/wiki/Muscarine_Toxicity
ANTICHOLINESTERASE_TOXICITY	anticholinesterase toxicity (muscarinic toxidrome)	http://www.anvita.info/wiki/Anticholinesterase_Toxicity
BENZODIAZEPINE_TOXICITY	benzodiazepine toxicity	http://www.anvita.info/wiki/Benzodiazepine_Toxicity
ALUMINUM_TOXICITY	aluminum toxicity	http://www.anvita.info/wiki/Aluminum_Toxicity
RETINOID_TOXICITY	retinoid toxicity	http://www.anvita.info/wiki/Retinoid_Toxicity
HYPERHEPARINEMIA	hyperheparinemia (heparin overdose)	http://www.anvita.info/wiki/Hyperheparinemia
DIGITALIS_TOXICITY	digitalis toxicity	http://www.anvita.info/wiki/Digitalis_Toxicity
CYANIDE_POISONING	cyanide poisoning	http://www.anvita.info/wiki/Cyanide_Poisoning
INHALATION_POISONING	inhalation poisoning	http://www.anvita.info/wiki/Inhalation_Poisoning
VEISALGIA	veisalgia	http://www.anvita.info/wiki/Veisalgia
CARDIOTOXICITY	cardiotoxicity	http://www.anvita.info/wiki/Cardiotoxicity
CYTOTOXICITY	cytotoxicity	http://www.anvita.info/wiki/Cytotoxicity
NEUROTOXICITY	neurotoxicity	http://www.anvita.info/wiki/Neurotoxicity
NEPHROTOXICITY	nephrotoxicity (renal toxicity)	http://www.anvita.info/wiki/Nephrotoxicity
OTOTOXICITY	ototoxicity	http://www.anvita.info/wiki/Ototoxicity
INTOXICATION	intoxication	http://www.anvita.info/wiki/Intoxication
STANNOSIS	stannosis	http://www.anvita.info/wiki/Stannosis
ARSENIC_POISONING	arsenic poisoning	http://www.anvita.info/wiki/Arsenic_Poisoning
GOLD_TOXICITY	gold toxicity	http://www.anvita.info/wiki/Gold_Toxicity
LEAD_POISONING	lead poisoning (plumbism)	http://www.anvita.info/wiki/Lead_Poisoning
METHOTREXATE_TOXICITY	methotrexate toxicity	http://www.anvita.info/wiki/Methotrexate_Toxicity
ANTICHOLINESTERASE_OVERDOSE	anticholinesterase overdose	http://www.anvita.info/wiki/Anticholinesterase_Overdose
CARBAMATE_TOXICITY	carbamate toxicity	http://www.anvita.info/wiki/Carbamate_Toxicity
DIGITALIS_TOXICITY_WITH_AV_CONDUCTION_DEFECTS	digitalis toxicity with AV conduction defects	http://www.anvita.info/wiki/Digitalis_Toxicity_With_Av_Conduction_Defects
