symptom	name	labs	labNames
ABDOMINAL_GUARDING	abdominal guarding	(COMPLETE_BLOOD_COUNT CHEMISTRY_8_PANEL LIVER_FUNCTION_TEST AMYLASE_IN_SERUM LIPASE_IN_SERUM URINALYSIS BETA_CHORIONIC_GONADOTROPIN_IN_SERUM/PLASMA CULTURE)	(complete blood count (CBC) chemistry 8 panel (basic metabolic panel, BMP, basic chemistry panel) liver (function) tests (LFT, liver panel, hepatic function panel) amylase in serum lipase in serum urinalysis (UA) beta-chorionic gonadotropin (hCG) in serum/plasma culture)
URINE_ODOR	urine odor	(URINALYSIS URINE_CULTURE)	(urinalysis (UA) urine culture)
COLD_INTOLERANCE	cold intolerance	(COMPLETE_BLOOD_COUNT THYROID_FUNCTION_TEST)	(complete blood count (CBC) thyroid function test)
DAWN_PHENOMENON	dawn phenomenon	(GLUCOSE_IN_BLOOD)	(glucose in blood)
FOAMY_URINE	foamy urine	(URINALYSIS)	(urinalysis (UA))
CAROTENEMIA	carotenemia	(CAROTENE_IN_SERUM BILIRUBIN_TOTAL_IN_SERUM)	(carotene in serum bilirubin (total) in serum (TBIL))
HYPERPHENYLALANINEMIA	hyperphenylalaninemia	(PHENYLALANINE_IN_BLOOD URINE_CHEMISTRY_TEST)	(phenylalanine in blood urine chemistry test)
CANDIDURIA	candiduria	(CULTURE)	(culture)
HYPERCHOLANEMIA	hypercholanemia	(BILE_ACIDS_IN_SERUM)	(bile acids in serum)
BACTERIURIA	bacteriuria	(URINALYSIS URINE_CULTURE CULTURE)	(urinalysis (UA) urine culture culture)
MINIMAL_COGNITIVE_IMPAIRMENT	minimal cognitive impairment (MCI); benign senile forgetfulness; age-associated memory impairment (AAMI)	(APOLIPOPROTEIN_E_GENOTYPE)	(apolipoprotein E genotype)
FAILURE_TO_THRIVE	failure to thrive	(CHOLESTEROL_IN_SERUM/PLASMA ALBUMIN_IN_SERUM COMPLETE_BLOOD_COUNT)	(cholesterol in serum/plasma albumin in serum complete blood count (CBC))
HYPERCALCIURIA	hypercalciuria	(24_HOUR_URINE_CALCIUM)	(24 hour urine calcium (Ca+2))
OLIGOHYDRAMNIOS	oligohydramnios	(NUCLEAR_ANTIBODY_IN_BODY_FLUID ERYTHROCYTE_ANTIBODY_SCREEN LIVER_FUNCTION_TEST COMPLETE_BLOOD_COUNT PLATELET_COUNT PROTEIN_IN_URINE URIC_ACID_IN_SERUM)	(nuclear antibody in body fluid erythrocyte antibody screen liver (function) tests (LFT, liver panel, hepatic function panel) complete blood count (CBC) platelet count protein in urine uric acid in serum)
POLYHYDRAMNIOS	polyhydramnios (hydramnios)	(HEMOGLOBIN_A1C_IN_RED_BLOOD_CELLS GLUCOSE_IN_SERUM/PLASMA GLUCOSE_IN_URINE GLUCOSE_CHALLENGE_TEST ERYTHROCYTE_ANTIBODY_SCREEN VDRL_REAGIN_SLIDE RUBELLA_VIRUS_ANTIBODY_IN_SERUM RUBELLA_VIRUS_ANTIBODY_IGM_IN_SERUM RUBELLA_VIRUS_ANTIBODY_IGG_IN_SERUM CYTOMEGALOVIRUS_ANTIBODY_IN_SERUM CYTOMEGALOVIRUS_ANTIBODY_IGM_IN_SERUM TOXOPLASMA_ANTIBODY_IN_SERUM TOXOPLASMA_IGM_ANTIBODY_IN_SERUM TOXOPLASMA_IGG_ANTIBODY_IN_SERUM PARVOVIRUS_B19_DNA HEMOGLOBIN_F_IN_BLOOD KARYOTYPING)	(hemoglobin A1c in red blood cells (Tina-quant HbA1cDx) glucose in serum/plasma glucose in urine glucose challenge (tolerance) test erythrocyte antibody screen VDRL reagin slide (VDRL) rubella virus antibody in serum rubella virus antibody IgM in serum rubella virus antibody IgG in serum cytomegalovirus (CMV) antibody in serum cytomegalovirus (CMV) antibody IgM in serum Toxoplasma antibody in serum Toxoplasma IgM antibody in serum Toxoplasma IgG antibody in serum parvovirus B19 DNA hemoglobin F in blood (Kleihauer-Betke test) karyotyping)
MUSCLE_SPASM	muscle spasm	(ELECTROLYTES_IN_SERUM ALBUMIN_IN_SERUM MAGNESIUM_IN_SERUM CALCIUM_IN_SERUM/PLASMA CREATINE_KINASE_IN_SERUM)	(electrolytes in serum albumin in serum magnesium (Mg+2) in serum calcium (Ca+2) in serum/plasma/blood creatine kinase (CK) in serum)
RED_EYE	red eye (pink eye, ocular erythema)	(CULTURE)	(culture)
HYPERURICOSURIA	hyperuricosuria	(24_HOUR_URINE_URIC_ACID)	(24 hour urine uric acid)
HYPOPITUITARISM	hypopituitarism	(PROLACTIN_IN_SERUM IGF1_IN_SERUM TESTOSTERONE_IN_SERUM ESTRADIOL_IN_SERUM FOLLICLE_STIMULATING_HORMONE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM FREE_THYROXINE_IN_SERUM ACTH_IN_PLASMA GLUCOSE_IN_SERUM/PLASMA SODIUM_IN_SERUM COSYNTROPIN_STIMULATION_TEST METYRAPONE_STIMULATION_TEST 11_DEOXYCORTISOL_IN_SERUM CORTISOL_IN_SERUM)	(prolactin in serum insulin-like growth factor (IGF)-1 or somatomedin C in serum testosterone in serum estradiol in serum follicle-stimulating hormone (FSH) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (free) in serum ACTH (corticotropin) in plasma glucose in serum/plasma sodium (Na+) in serum cosyntropin (ACTH, Cortrosyn) stimulation test (delta cortisol test) metyrapone stimulation test 11-deoxycortisol in serum cortisol in serum)
